max_depth,min_samples_leaf,min_samples_split,train_rmse,validation_rmse,train_mae,validation_mae,tree_depth,n_leaves
,10,20,14.9692474341554,28.63985588353544,10.398712035837422,21.33210867826725,22,1667
12.0,5,10,16.222615507675574,28.98813211635201,11.298645744156792,21.68760126239185,12,1359
,5,10,12.2713770165299,29.546979182128343,8.434060612816292,21.869040764258795,25,3410
10.0,10,20,19.385836894752213,29.807342076310622,13.620778274396168,22.16712705780897,10,521
10.0,5,10,19.144895699302356,30.258774029851814,13.434816018563556,22.480134681852224,10,655
8.0,10,20,22.274266003605657,31.344135925568402,15.87096609776839,23.58115574581196,8,217
8.0,5,10,22.215778904077208,31.361565864770085,15.807029603139483,23.640040109425627,8,235
5.0,5,10,27.278114833411376,32.418974874227885,19.54721702219282,24.23306254957218,5,32
5.0,10,20,27.28096546359716,32.418974874227885,19.550137724140466,24.23306254957218,5,32
3.0,5,10,30.052603226363647,34.73181827267659,21.576203248086262,26.19271817727048,3,8
